lon,lat,title,desc,icon,zoom,html
-82.501981,28.5359822,13411 Chambord St,Phone: (352)-597-5800<br>Fax: (352)-597-5552,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>13411 Chambord St</b></br>Phone: (352)-597-5800<br>Fax: (352)-597-5552
-80.3769564,25.8000012,2801 NW 112th Ave,Phone: (305)593-0101 <br>Fax: (305) 592-4782 <br>Asst Mgr: Reyder (Ray) Roman<br>Regional: Marlon Sirju,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>2801 NW 112th Ave</b></br>Phone: (305)593-0101 <br>Fax: (305) 592-4782 <br>Asst Mgr: Reyder (Ray) Roman<br>Regional: Marlon Sirju
-81.9517981,26.6619498,1110 NE Pine Island Rd #17,Phone: (239)-772-1151<br>Fax: (239)-772-1161<br>Mgr: Tom Trendafilov<br>Regional Mgr: Ron Reagan,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1110 NE Pine Island Rd #17</b></br>Phone: (239)-772-1151<br>Fax: (239)-772-1161<br>Mgr: Tom Trendafilov<br>Regional Mgr: Ron Reagan
-81.8498848,26.5688808,6320 Topaz Ct,Phone: (239)-936-1414<br>Fax: (239)-936-1704<br>Mgr: Marcus Taylor<br>Regional Mgr: Ron Reagan,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>6320 Topaz Ct</b></br>Phone: (239)-936-1414<br>Fax: (239)-936-1704<br>Mgr: Marcus Taylor<br>Regional Mgr: Ron Reagan
-86.6575874,30.4240693,632B Lovejoy Rd NW #2,Fax: (850)-864-3003<br>Phone: (850)-864-4004,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>632B Lovejoy Rd NW #2</b></br>Fax: (850)-864-3003<br>Phone: (850)-864-4004
-81.626684,30.273445,4682 Dusk Ct,Fax: (904)-636-0735<br>Phone: (904)-636-0627,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>4682 Dusk Ct</b></br>Fax: (904)-636-0735<br>Phone: (904)-636-0627
-80.1988828,26.1464755,3761 NW 16th St,Phone: (954) 583-6202 <br>Fax: (954) 587-7096 <br>Mrg: Brian Thompson<br>Regional: Marlon Sirju,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>3761 NW 16th St</b></br>Phone: (954) 583-6202 <br>Fax: (954) 587-7096 <br>Mrg: Brian Thompson<br>Regional: Marlon Sirju
-82.9576552,30.286479,10302 90th Trail,Phone: (386) 208-0888<br>Fax: (386) 208-0684<br>Mgr: Brian Campbell <br>Regional Mgr: Brian Campbell,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>10302 90th Trail</b></br>Phone: (386) 208-0888<br>Fax: (386) 208-0684<br>Mgr: Brian Campbell <br>Regional Mgr: Brian Campbell
-81.3586401,28.6542553,1652 Longwood Ave,Fax: (407)-331-0886<br>Phone: (407)-331-8989,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1652 Longwood Ave</b></br>Fax: (407)-331-0886<br>Phone: (407)-331-8989
-80.3141176,25.8450577,7835 NW 72nd Ave,Phone: (305)883-0564 <br>Fax: (305)889-1475 <br>Mgr: Andy Alvarez <br>Regional Mgr: Marlon Sirju,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>7835 NW 72nd Ave</b></br>Phone: (305)883-0564 <br>Fax: (305)889-1475 <br>Mgr: Andy Alvarez <br>Regional Mgr: Marlon Sirju
